"","model","inference","replicate","height","ntaxa","r_mse","N_mse","N_true_sum","true positive","true negative","false negative","false positive","false positive rate","true positive rate","false negative rate","true negative rate","prop_error_geomean_lambda","prop_error_mean_lambda","prop_error_geomean_mu","prop_error_mean_mu","arithmetic_error_netdiv","criterion"
"1",1,"true_all",1,25,3,4.68090670708677e-05,0.000153767619017201,0,0,4,0,0,0,NA,NA,1,1.17104280451771,1.17104281418264,1.17104280451771,1.17104281418264,0.00684171256730546,"N_over_half"
"2",1,"true_all",1,25,3,4.68090670708677e-05,0.000153767619017201,0,0,4,0,0,0,NA,NA,1,1.17104280451771,1.17104281418264,1.17104280451771,1.17104281418264,0.00684171256730546,"bayes_factor_10"
"3",1,"true_all",1,25,3,4.68090670708677e-05,0.000153767619017201,0,0,4,0,0,0,NA,NA,1,1.17104280451771,1.17104281418264,1.17104280451771,1.17104281418264,0.00684171256730546,"N_half_and_bayes_factor"
"4",1,"true_all",2,25,17,8.01484820841479e-05,0.0311198868748046,1,0,31,1,0,0,0,1,1,1.21977416583421,1.22046338285935,1.21977416583421,1.22046338285935,0.00882012576820877,"N_over_half"
"5",1,"true_all",2,25,17,8.01484820841479e-05,0.0311198868748046,1,0,31,1,0,0,0,1,1,1.21977416583421,1.22046338285935,1.21977416583421,1.22046338285935,0.00882012576820877,"bayes_factor_10"
"6",1,"true_all",2,25,17,8.01484820841479e-05,0.0311198868748046,1,0,31,1,0,0,0,1,1,1.21977416583421,1.22046338285935,1.21977416583421,1.22046338285935,0.00882012576820877,"N_half_and_bayes_factor"
"7",1,"true_all",3,25,30,0.000188259338833238,3.00571270225743e-05,0,0,58,0,0,0,NA,NA,1,1.3430138049986,1.34301487784326,1.3430138049986,1.34301487784326,0.0137205951137303,"N_over_half"
"8",1,"true_all",3,25,30,0.000188259338833238,3.00571270225743e-05,0,0,58,0,0,0,NA,NA,1,1.3430138049986,1.34301487784326,1.3430138049986,1.34301487784326,0.0137205951137303,"bayes_factor_10"
"9",1,"true_all",3,25,30,0.000188259338833238,3.00571270225743e-05,0,0,58,0,0,0,NA,NA,1,1.3430138049986,1.34301487784326,1.3430138049986,1.34301487784326,0.0137205951137303,"N_half_and_bayes_factor"
"10",1,"true_all",4,25,12,0.000106255357560181,2.91964958872602e-05,0,0,22,0,0,0,NA,NA,1,1.25769855216089,1.2576989004525,1.25769855216089,1.2576989004525,0.0103079560180999,"N_over_half"
"11",1,"true_all",4,25,12,0.000106255357560181,2.91964958872602e-05,0,0,22,0,0,0,NA,NA,1,1.25769855216089,1.2576989004525,1.25769855216089,1.2576989004525,0.0103079560180999,"bayes_factor_10"
"12",1,"true_all",4,25,12,0.000106255357560181,2.91964958872602e-05,0,0,22,0,0,0,NA,NA,1,1.25769855216089,1.2576989004525,1.25769855216089,1.2576989004525,0.0103079560180999,"N_half_and_bayes_factor"
"13",1,"true_all",5,25,7,6.80622313814305e-05,6.60241352526424e-05,0,0,12,0,0,0,NA,NA,1,1.20624645373852,1.20624691217879,1.20624645373852,1.20624691217879,0.00824987648715144,"N_over_half"
"14",1,"true_all",5,25,7,6.80622313814305e-05,6.60241352526424e-05,0,0,12,0,0,0,NA,NA,1,1.20624645373852,1.20624691217879,1.20624645373852,1.20624691217879,0.00824987648715144,"bayes_factor_10"
"15",1,"true_all",5,25,7,6.80622313814305e-05,6.60241352526424e-05,0,0,12,0,0,0,NA,NA,1,1.20624645373852,1.20624691217879,1.20624645373852,1.20624691217879,0.00824987648715144,"N_half_and_bayes_factor"
